År,Måned,Startlager,Etterspørsel,Salg,Restordre (stockout),Sluttlager,Svinn
2021,Januar,450,334,334,0,106,10
2021,Februar,514,214,214,0,289,11
2021,Mars,289,336,282,54,0,7
2021,April,330,298,298,0,25,7
2021,Mai,453,460,443,17,0,10
2021,Juni,310,601,302,299,0,8
2021,Juli,395,360,360,0,25,10
2021,August,441,275,275,0,156,10
2021,September,581,348,348,0,219,14
2021,Oktober,593,255,255,0,325,13
2021,November,325,275,275,0,42,8
2021,Desember,484,464,464,0,9,11
2022,Januar,380,251,251,0,120,9
2022,Februar,507,254,254,0,242,11
2022,Mars,242,280,237,43,0,5
2022,April,408,231,231,0,167,10
2022,Mai,499,282,282,0,206,11
2022,Juni,550,128,128,0,409,13
2022,Juli,409,528,399,129,0,10
2022,August,315,381,308,73,0,7
2022,September,338,339,330,9,0,8
2022,Oktober,322,432,315,117,0,7
2022,November,389,300,300,0,81,8
2022,Desember,427,344,344,0,73,10
2023,Januar,467,322,322,0,135,10
2023,Februar,524,285,285,0,226,13
2023,Mars,537,316,316,0,207,14
2023,April,541,206,206,0,324,11
2023,Mai,324,358,316,42,0,8
2023,Juni,370,398,362,36,0,8
2023,Juli,312,508,304,204,0,8
2023,August,388,276,276,0,104,8
2023,September,475,370,370,0,94,11
2023,Oktober,465,289,289,0,166,10
2023,November,570,427,427,0,130,13
2023,Desember,447,385,385,0,51,11
2024,Januar,420,179,179,0,231,10
2024,Februar,613,255,255,0,343,15
2024,Mars,343,447,336,111,0,7
2024,April,302,458,294,164,0,8
2024,Mai,397,393,388,5,0,9
2024,Juni,337,328,328,0,0,9
2024,Juli,430,442,420,22,0,10
2024,August,409,314,314,0,85,10
2024,September,466,251,251,0,205,10
2024,Oktober,541,293,293,0,236,12
2024,November,642,224,224,0,401,17
2024,Desember,401,518,393,125,0,8
2025,Januar,350,523,342,181,0,8
2025,Februar,311,372,303,69,0,8
2025,Mars,428,263,263,0,154,11
2025,April,547,373,373,0,162,12
2025,Mai,527,245,245,0,269,13
2025,Juni,269,252,252,0,12,5
2025,Juli,366,439,358,81,0,8
2025,August,431,479,420,59,0,11
2025,September,396,270,270,0,117,9
2025,Oktober,483,195,195,0,276,12
2025,November,276,287,269,18,0,7
2025,Desember,336,382,327,55,0,9
