År,Måned,Startlager,Etterspørsel,Salg,Restordre (stockout),Sluttlager,Svinn
2021,Januar,500,293,293,0,204,3
2021,Februar,578,276,276,0,298,4
2021,Mars,298,280,280,0,16,2
2021,April,404,324,324,0,78,2
2021,Mai,553,326,326,0,224,3
2021,Juni,707,386,386,0,317,4
2021,Juli,317,439,315,124,0,2
2021,August,366,427,364,63,0,2
2021,September,396,342,342,0,51,3
2021,Oktober,498,342,342,0,153,3
2021,November,604,341,341,0,260,3
2021,Desember,760,471,471,0,285,4
2022,Januar,285,254,254,0,30,1
2022,Februar,417,303,303,0,111,3
2022,Mars,473,303,303,0,167,3
2022,April,690,338,338,0,348,4
2022,Mai,348,340,340,0,6,2
2022,Juni,500,331,331,0,166,3
2022,Juli,553,437,437,0,113,3
2022,August,543,455,455,0,85,3
2022,September,529,331,331,0,195,3
2022,Oktober,634,363,363,0,268,3
2022,November,645,313,313,0,328,4
2022,Desember,328,442,326,116,0,2
2023,Januar,443,306,306,0,134,3
2023,Februar,619,281,281,0,335,3
2023,Mars,335,333,333,0,0,2
2023,April,396,352,352,0,42,2
2023,Mai,544,351,351,0,190,3
2023,Juni,634,388,388,0,242,4
2023,Juli,649,516,516,0,129,4
2023,August,521,403,403,0,115,3
2023,September,593,407,407,0,183,3
2023,Oktober,616,350,350,0,263,3
2023,November,687,338,338,0,345,4
2023,Desember,345,444,343,101,0,2
2024,Januar,464,299,299,0,163,2
2024,Februar,616,307,307,0,306,3
2024,Mars,306,375,304,71,0,2
2024,April,500,375,375,0,122,3
2024,Mai,557,368,368,0,186,3
2024,Juni,673,341,341,0,328,4
2024,Juli,328,499,326,173,0,2
2024,August,501,454,454,0,44,3
2024,September,411,351,351,0,58,2
2024,Oktober,502,410,410,0,89,3
2024,November,483,292,292,0,188,3
2024,Desember,652,517,517,0,131,4
2025,Januar,510,332,332,0,175,3
2025,Februar,525,335,335,0,187,3
2025,Mars,587,382,382,0,201,4
2025,April,584,365,365,0,216,3
2025,Mai,577,417,417,0,156,4
2025,Juni,534,416,416,0,115,3
2025,Juli,569,430,430,0,136,3
2025,August,590,485,485,0,102,3
2025,September,551,402,402,0,146,3
2025,Oktober,519,413,413,0,103,3
2025,November,455,362,362,0,91,2
2025,Desember,464,508,461,47,0,3
