År,Måned,Startlager,Etterspørsel,Salg,Restordre (stockout),Sluttlager,Svinn
2021,Januar,400,227,227,0,160,13
2021,Februar,514,187,187,0,313,14
2021,Mars,313,218,218,0,87,8
2021,April,492,210,210,0,269,13
2021,Mai,269,277,262,15,0,7
2021,Juni,369,314,314,0,44,11
2021,Juli,337,376,328,48,0,9
2021,August,303,331,294,37,0,9
2021,September,281,311,272,39,0,9
2021,Oktober,357,248,248,0,100,9
2021,November,506,270,270,0,222,14
2021,Desember,552,357,357,0,177,18
2022,Januar,479,291,291,0,173,15
2022,Februar,456,169,169,0,273,14
2022,Mars,273,220,220,0,45,8
2022,April,362,292,292,0,61,9
2022,Mai,461,297,297,0,151,13
2022,Juni,462,271,271,0,178,13
2022,Juli,579,336,336,0,226,17
2022,August,226,355,219,136,0,7
2022,September,411,317,317,0,83,11
2022,Oktober,447,336,336,0,97,14
2022,November,462,230,230,0,220,12
2022,Desember,561,397,397,0,148,16
2023,Januar,560,253,253,0,289,18
2023,Februar,289,258,258,0,22,9
2023,Mars,346,254,254,0,83,9
2023,April,409,250,250,0,147,12
2023,Mai,486,288,288,0,184,14
2023,Juni,541,285,285,0,241,15
2023,Juli,241,327,234,93,0,7
2023,August,342,348,332,16,0,10
2023,September,304,250,250,0,46,8
2023,Oktober,420,271,271,0,138,11
2023,November,424,267,267,0,145,12
2023,Desember,506,368,368,0,124,14
2024,Januar,438,293,293,0,132,13
2024,Februar,521,234,234,0,271,16
2024,Mars,271,251,251,0,12,8
2024,April,356,247,247,0,98,11
2024,Mai,461,257,257,0,191,13
2024,Juni,533,277,277,0,239,17
2024,Juli,239,320,232,88,0,7
2024,August,387,350,350,0,26,11
2024,September,368,295,295,0,61,12
2024,Oktober,360,303,303,0,46,11
2024,November,356,248,248,0,99,9
2024,Desember,434,409,409,0,11,14
2025,Januar,411,247,247,0,153,11
2025,Februar,552,237,237,0,299,16
2025,Mars,299,260,260,0,30,9
2025,April,341,230,230,0,102,9
2025,Mai,476,286,286,0,175,15
2025,Juni,530,257,257,0,257,16
2025,Juli,257,363,250,113,0,7
2025,August,305,330,297,33,0,8
2025,September,326,284,284,0,33,9
2025,Oktober,379,349,349,0,20,10
2025,November,331,274,274,0,49,8
2025,Desember,357,383,348,35,0,9
