År,Måned,Startlager,Etterspørsel,Salg,Restordre (stockout),Sluttlager,Svinn,Kategori,Dato_Sortering,Kostnad_Lagerkostnad,Kostnad_Stockout-kostnad,Bestilt_kvantum,Dato_bestilt,Dato_mottatt,Leverandør_navn,Supp_Ledetid (dager),Supp_Ledetid varians,Supp_Kapasitet (maks/måned),Supp_Enhetspris,Supp_Fast bestillingskostnad,Supp_Risiko (stockout),Supp_Transportkostnad
2021,Januar,450,334,334,0,106,10,Engelsk fiksjon,2021-01-01,10,120,408,2021-01-13,2021-02-18,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2021,Februar,514,214,214,0,289,11,Engelsk fiksjon,2021-02-01,10,120,0,,,,5,Middels,500,210,300,Lav,20
2021,Mars,289,336,282,54,0,7,Engelsk fiksjon,2021-03-01,10,120,330,2021-03-10,2021-04-27,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2021,April,330,298,298,0,25,7,Engelsk fiksjon,2021-04-01,10,120,428,2021-04-10,2021-05-28,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2021,Mai,453,460,443,17,0,10,Engelsk fiksjon,2021-05-01,10,120,310,2021-05-11,2021-06-21,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2021,Juni,310,601,302,299,0,8,Engelsk fiksjon,2021-06-01,10,120,395,2021-06-14,2021-07-23,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2021,Juli,395,360,360,0,25,10,Engelsk fiksjon,2021-07-01,10,120,416,2021-07-08,2021-08-22,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2021,August,441,275,275,0,156,10,Engelsk fiksjon,2021-08-01,10,120,425,2021-08-02,2021-09-20,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2021,September,581,348,348,0,219,14,Engelsk fiksjon,2021-09-01,10,120,374,2021-09-06,2021-10-18,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2021,Oktober,593,255,255,0,325,13,Engelsk fiksjon,2021-10-01,10,120,0,,,,5,Middels,500,210,300,Lav,20
2021,November,325,275,275,0,42,8,Engelsk fiksjon,2021-11-01,10,120,442,2021-11-02,2021-12-19,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2021,Desember,484,464,464,0,9,11,Engelsk fiksjon,2021-12-01,10,120,371,2021-12-12,2021-13-23,Forlagssentralen,5,Middels,500,210,300,Lav,20
2022,Januar,380,251,251,0,120,9,Engelsk fiksjon,2022-01-01,10,120,387,2022-01-08,2022-02-24,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2022,Februar,507,254,254,0,242,11,Engelsk fiksjon,2022-02-01,10,120,0,,,,5,Middels,500,210,300,Lav,20
2022,Mars,242,280,237,43,0,5,Engelsk fiksjon,2022-03-01,10,120,408,2022-03-06,2022-04-17,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2022,April,408,231,231,0,167,10,Engelsk fiksjon,2022-04-01,10,120,332,2022-04-08,2022-05-20,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2022,Mai,499,282,282,0,206,11,Engelsk fiksjon,2022-05-01,10,120,344,2022-05-06,2022-06-18,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2022,Juni,550,128,128,0,409,13,Engelsk fiksjon,2022-06-01,10,120,0,,,,5,Middels,500,210,300,Lav,20
2022,Juli,409,528,399,129,0,10,Engelsk fiksjon,2022-07-01,10,120,315,2022-07-01,2022-08-25,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2022,August,315,381,308,73,0,7,Engelsk fiksjon,2022-08-01,10,120,338,2022-08-14,2022-09-23,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
