År,Måned,Kategori,Leverandør,Bestilt kvantum,Dato bestilt,Dato for motatt bestilling
2021,Januar,Norsk Krim,Forlagssentralen,374,2021-01-02,2021-02-26
2021,Januar,Norske barnebøker,Forlagssentralen,354,2021-01-11,2021-02-24
2021,Januar,Engelsk fiksjon,Ekstern leverandør,408,2021-01-13,2021-02-18
2021,Mars,Norsk Krim,Forlagssentralen,388,2021-03-09,2021-04-25
2021,Mars,Norske barnebøker,Forlagssentralen,405,2021-03-12,2021-04-24
2021,Mars,Engelsk fiksjon,Ekstern leverandør,330,2021-03-10,2021-04-27
2021,April,Norsk Krim,Forlagssentralen,475,2021-04-12,2021-05-24
2021,April,Engelsk fiksjon,Ekstern leverandør,428,2021-04-10,2021-05-28
2021,Mai,Norsk Krim,Forlagssentralen,483,2021-05-03,2021-06-27
2021,Mai,Norske barnebøker,Forlagssentralen,369,2021-05-05,2021-06-24
2021,Mai,Engelsk fiksjon,Ekstern leverandør,310,2021-05-11,2021-06-21
2021,Juni,Norske barnebøker,Forlagssentralen,293,2021-06-07,2021-07-20
2021,Juni,Engelsk fiksjon,Ekstern leverandør,395,2021-06-14,2021-07-23
2021,Juli,Norsk Krim,Forlagssentralen,366,2021-07-02,2021-08-21
2021,Juli,Norske barnebøker,Forlagssentralen,303,2021-07-08,2021-08-24
2021,Juli,Engelsk fiksjon,Ekstern leverandør,416,2021-07-08,2021-08-22
2021,August,Norsk Krim,Forlagssentralen,396,2021-08-01,2021-09-27
2021,August,Norske barnebøker,Forlagssentralen,281,2021-08-02,2021-09-27
2021,August,Engelsk fiksjon,Ekstern leverandør,425,2021-08-02,2021-09-20
2021,September,Norsk Krim,Forlagssentralen,447,2021-09-14,2021-10-26
2021,September,Norske barnebøker,Forlagssentralen,357,2021-09-07,2021-10-18
2021,September,Engelsk fiksjon,Ekstern leverandør,374,2021-09-06,2021-10-18
2021,Oktober,Norsk Krim,Forlagssentralen,451,2021-10-12,2021-11-17
2021,Oktober,Norske barnebøker,Forlagssentralen,406,2021-10-13,2021-11-16
2021,November,Norsk Krim,Forlagssentralen,500,2021-11-14,2021-12-17
2021,November,Norske barnebøker,Forlagssentralen,330,2021-11-09,2021-12-22
2021,November,Engelsk fiksjon,Ekstern leverandør,442,2021-11-02,2021-12-19
2021,Desember,Norske barnebøker,Forlagssentralen,302,2021-12-15,2021-13-19
2021,Desember,Engelsk fiksjon,Forlagssentralen,371,2021-12-12,2021-13-23
2022,Januar,Norsk Krim,Forlagssentralen,387,2022-01-05,2022-02-27
2022,Januar,Norske barnebøker,Forlagssentralen,283,2022-01-12,2022-02-21
2022,Januar,Engelsk fiksjon,Ekstern leverandør,387,2022-01-08,2022-02-24
2022,Februar,Norsk Krim,Forlagssentralen,362,2022-02-11,2022-03-18
2022,Mars,Norsk Krim,Forlagssentralen,523,2022-03-11,2022-04-27
2022,Mars,Norske barnebøker,Forlagssentralen,317,2022-03-13,2022-04-27
2022,Mars,Engelsk fiksjon,Ekstern leverandør,408,2022-03-06,2022-04-17
2022,April,Norske barnebøker,Forlagssentralen,400,2022-04-04,2022-05-19
2022,April,Engelsk fiksjon,Ekstern leverandør,332,2022-04-08,2022-05-20
2022,Mai,Norsk Krim,Forlagssentralen,494,2022-05-13,2022-06-21
2022,Mai,Norske barnebøker,Forlagssentralen,311,2022-05-11,2022-06-19
2022,Mai,Engelsk fiksjon,Ekstern leverandør,344,2022-05-06,2022-06-18
2022,Juni,Norsk Krim,Forlagssentralen,387,2022-06-10,2022-07-27
2022,Juni,Norske barnebøker,Forlagssentralen,401,2022-06-13,2022-07-20
2022,Juli,Norsk Krim,Forlagssentralen,430,2022-07-05,2022-08-18
2022,Juli,Engelsk fiksjon,Ekstern leverandør,315,2022-07-01,2022-08-25
2022,August,Norsk Krim,Forlagssentralen,444,2022-08-12,2022-09-25
2022,August,Norske barnebøker,Forlagssentralen,411,2022-08-02,2022-09-20
2022,August,Engelsk fiksjon,Ekstern leverandør,338,2022-08-14,2022-09-23
2022,September,Norsk Krim,Forlagssentralen,439,2022-09-02,2022-10-28
2022,September,Norske barnebøker,Forlagssentralen,364,2022-09-06,2022-10-27
2022,September,Engelsk fiksjon,Ekstern leverandør,322,2022-09-10,2022-10-20
2022,Oktober,Norsk Krim,Forlagssentralen,377,2022-10-03,2022-11-28
2022,Oktober,Norske barnebøker,Forlagssentralen,365,2022-10-09,2022-11-17
2022,Oktober,Engelsk fiksjon,Forlagssentralen,389,2022-10-10,2022-11-19
2022,November,Norske barnebøker,Forlagssentralen,341,2022-11-09,2022-12-28
2022,November,Engelsk fiksjon,Ekstern leverandør,346,2022-11-10,2022-12-16
2022,Desember,Norsk Krim,Forlagssentralen,443,2022-12-09,2022-13-16
2022,Desember,Norske barnebøker,Forlagssentralen,412,2022-12-12,2022-13-26
2022,Desember,Engelsk fiksjon,Forlagssentralen,394,2022-12-05,2022-13-26
2023,Januar,Norsk Krim,Forlagssentralen,485,2023-01-06,2023-02-17
2023,Januar,Engelsk fiksjon,Ekstern leverandør,389,2023-01-05,2023-02-16
2023,Februar,Norske barnebøker,Forlagssentralen,324,2023-02-14,2023-03-17
2023,Februar,Engelsk fiksjon,Forlagssentralen,311,2023-02-04,2023-03-20
2023,Mars,Norsk Krim,Forlagssentralen,396,2023-03-09,2023-04-28
2023,Mars,Norske barnebøker,Forlagssentralen,326,2023-03-12,2023-04-20
2023,Mars,Engelsk fiksjon,Ekstern leverandør,334,2023-03-03,2023-04-20
2023,April,Norsk Krim,Forlagssentralen,502,2023-04-05,2023-05-26
2023,April,Norske barnebøker,Forlagssentralen,339,2023-04-07,2023-05-26
2023,Mai,Norsk Krim,Forlagssentralen,444,2023-05-13,2023-06-24
2023,Mai,Norske barnebøker,Forlagssentralen,357,2023-05-01,2023-06-20
2023,Mai,Engelsk fiksjon,Ekstern leverandør,370,2023-05-05,2023-06-27
2023,Juni,Norsk Krim,Forlagssentralen,407,2023-06-01,2023-07-17
2023,Juni,Engelsk fiksjon,Ekstern leverandør,312,2023-06-01,2023-07-22
2023,Juli,Norsk Krim,Forlagssentralen,392,2023-07-04,2023-08-25
2023,Juli,Norske barnebøker,Forlagssentralen,342,2023-07-11,2023-08-19
2023,Juli,Engelsk fiksjon,Forlagssentralen,388,2023-07-01,2023-08-28
2023,August,Norsk Krim,Forlagssentralen,478,2023-08-14,2023-09-17
2023,August,Norske barnebøker,Forlagssentralen,304,2023-08-02,2023-09-20
2023,August,Engelsk fiksjon,Ekstern leverandør,371,2023-08-11,2023-09-23
2023,September,Norsk Krim,Forlagssentralen,433,2023-09-09,2023-10-18
2023,September,Norske barnebøker,Forlagssentralen,374,2023-09-04,2023-10-28
2023,September,Engelsk fiksjon,Ekstern leverandør,371,2023-09-07,2023-10-21
2023,Oktober,Norsk Krim,Forlagssentralen,424,2023-10-04,2023-11-24
