Kategori,Parameter,Faktor,Kostnad,ServiceLevel
Engelsk fiksjon,Stockout-kostnad,0.5,38296.79,86.31
Engelsk fiksjon,Stockout-kostnad,0.75,55049.37,86.31
Engelsk fiksjon,Stockout-kostnad,1.0,71801.95,86.31
Engelsk fiksjon,Stockout-kostnad,1.25,88554.53,86.31
Engelsk fiksjon,Stockout-kostnad,1.5,105307.12,86.31
Engelsk fiksjon,Lagerholdskostnad,0.8,78101.9,85.02
Engelsk fiksjon,Lagerholdskostnad,1.2,70931.52,86.6
Engelsk fiksjon,Sikkerhetsmargin-faktor,0.8,71801.95,86.31
Engelsk fiksjon,Sikkerhetsmargin-faktor,1.2,71801.95,86.31
Engelsk fiksjon,Sikkerhetsmargin-faktor,1.5,35284.45,94.04
Engelsk fiksjon,Sikkerhetsmargin-faktor,2.0,35284.45,94.04
Norske barnebøker,Stockout-kostnad,0.5,23124.07,83.83
Norske barnebøker,Stockout-kostnad,0.75,33734.81,83.83
Norske barnebøker,Stockout-kostnad,1.0,44345.56,83.83
Norske barnebøker,Stockout-kostnad,1.25,54956.31,83.83
Norske barnebøker,Stockout-kostnad,1.5,65567.06,83.83
Norske barnebøker,Lagerholdskostnad,0.8,25421.33,91.05
Norske barnebøker,Lagerholdskostnad,1.2,50705.69,81.52
Norske barnebøker,Sikkerhetsmargin-faktor,0.8,44345.56,83.83
Norske barnebøker,Sikkerhetsmargin-faktor,1.2,44345.56,83.83
Norske barnebøker,Sikkerhetsmargin-faktor,1.5,44345.56,83.83
Norske barnebøker,Sikkerhetsmargin-faktor,2.0,33309.37,88.17
Norsk krim,Stockout-kostnad,0.5,22601.27,91.47
Norsk krim,Stockout-kostnad,0.75,32423.98,91.47
Norsk krim,Stockout-kostnad,1.0,42246.68,91.47
Norsk krim,Stockout-kostnad,1.25,52069.39,91.47
Norsk krim,Stockout-kostnad,1.5,61892.1,91.47
Norsk krim,Lagerholdskostnad,0.8,81144.35,82.92
Norsk krim,Lagerholdskostnad,1.2,74679.2,84.41
Norsk krim,Sikkerhetsmargin-faktor,0.8,69048.47,85.56
Norsk krim,Sikkerhetsmargin-faktor,1.2,42246.68,91.47
Norsk krim,Sikkerhetsmargin-faktor,1.5,42246.68,91.47
Norsk krim,Sikkerhetsmargin-faktor,2.0,42246.68,91.47
