År,Måned,Startlager,Etterspørsel,Salg,Restordre (stockout),Sluttlager,Svinn,Kategori,Dato_Sortering,Kostnad_Lagerkostnad,Kostnad_Stockout-kostnad,Bestilt_kvantum,Dato_bestilt,Dato_mottatt,Leverandør_navn,Supp_Ledetid (dager),Supp_Ledetid varians,Supp_Kapasitet (maks/måned),Supp_Enhetspris,Supp_Fast bestillingskostnad,Supp_Risiko (stockout),Supp_Transportkostnad,month,monthly_mean,monthly_std,z_score,Er_Kampanje
2021,Januar,450,334,334,0,106,10,Engelsk fiksjon,2021-01-01,10,120,408,2021-01-13,2021-02-18,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,1,321.8,128.48618602791507,0.09495184172833492,False
2021,Februar,514,214,214,0,289,11,Engelsk fiksjon,2021-02-01,10,120,0,,,,5,Middels,500,210,300,Lav,20,2,276.0,59.3000843169721,-1.0455297106930954,False
2021,Mars,289,336,282,54,0,7,Engelsk fiksjon,2021-03-01,10,120,330,2021-03-10,2021-04-27,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,3,328.4,72.27931931057458,0.10514764212628841,False
2021,April,330,298,298,0,25,7,Engelsk fiksjon,2021-04-01,10,120,428,2021-04-10,2021-05-28,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,4,313.2,103.70969096473097,-0.1465629668607259,False
2021,Mai,453,460,443,17,0,10,Engelsk fiksjon,2021-05-01,10,120,310,2021-05-11,2021-06-21,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,5,347.6,86.07148192055253,1.305891306759999,False
2021,Juni,310,601,302,299,0,8,Engelsk fiksjon,2021-06-01,10,120,395,2021-06-14,2021-07-23,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,6,341.4,176.28613104836126,1.4726059188898017,False
2021,Juli,395,360,360,0,25,10,Engelsk fiksjon,2021-07-01,10,120,416,2021-07-08,2021-08-22,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,7,455.4,66.30837051232672,-1.4387323842057789,False
2021,August,441,275,275,0,156,10,Engelsk fiksjon,2021-08-01,10,120,425,2021-08-02,2021-09-20,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,8,345.0,86.42048368297877,-0.8099931522807142,False
2021,September,581,348,348,0,219,14,Engelsk fiksjon,2021-09-01,10,120,374,2021-09-06,2021-10-18,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,9,315.6,51.983651276146425,0.6232728791574375,False
2021,Oktober,593,255,255,0,325,13,Engelsk fiksjon,2021-10-01,10,120,0,,,,5,Middels,500,210,300,Lav,20,10,292.8,87.15618165110264,-0.4337041766161608,False
2021,November,325,275,275,0,42,8,Engelsk fiksjon,2021-11-01,10,120,442,2021-11-02,2021-12-19,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,11,302.6,75.27482979057476,-0.366656425219255,False
2021,Desember,484,464,464,0,9,11,Engelsk fiksjon,2021-12-01,10,120,371,2021-12-12,2021-13-23,Forlagssentralen,5,Middels,500,210,300,Lav,20,12,418.6,70.66682389919615,0.6424514007416203,False
2022,Januar,380,251,251,0,120,9,Engelsk fiksjon,2022-01-01,10,120,387,2022-01-08,2022-02-24,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,1,321.8,128.48618602791507,-0.5510319995382065,False
2022,Februar,507,254,254,0,242,11,Engelsk fiksjon,2022-02-01,10,120,0,,,,5,Middels,500,210,300,Lav,20,2,276.0,59.3000843169721,-0.37099441347174356,False
2022,Mars,242,280,237,43,0,5,Engelsk fiksjon,2022-03-01,10,120,408,2022-03-06,2022-04-17,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,3,328.4,72.27931931057458,-0.6696244577516238,False
