ds,yhat,yhat_lower,yhat_upper,Kategori,yhat_adj,Safety_Stock,Order_Up_To
2026-01-01,272.2929994637345,208.6936851407963,342.3811815560331,Engelsk fiksjon,256.3329994637345,59.468760563162455,315.80176002689694
2026-02-01,212.29047712633377,139.9062711281819,279.50356250916315,Engelsk fiksjon,196.33047712633376,57.02928456724917,253.35976169358293
2026-03-01,302.5998026477628,229.0760940427506,374.7146700655032,Engelsk fiksjon,286.6398026477628,61.188372354446415,347.8281750022092
2026-04-01,226.69725744711982,155.3958635930994,293.53334877374084,Engelsk fiksjon,210.73725744711982,56.70941082258753,267.44666826970735
2026-05-01,349.57234207444225,278.2020312073265,415.4758108209619,Engelsk fiksjon,333.61234207444227,55.91809469401667,389.5304367684589
2026-06-01,299.0922835889097,231.95833503420107,365.30082944958576,Engelsk fiksjon,283.13228358890973,56.17694800299787,339.3092315919076
2026-07-01,460.80286417016293,392.1942603438906,528.1434197667301,Engelsk fiksjon,444.84286417016295,57.137441112238776,501.98030528240173
2026-08-01,287.23391962022106,214.1352501964475,354.6346578767298,Engelsk fiksjon,271.2739196202211,57.188505187340766,328.46242480756183
2026-09-01,317.5537289227765,245.7101632718418,389.6060916263623,Engelsk fiksjon,301.5937289227765,61.13533805152735,362.72906697430386
2026-10-01,237.15516275097397,160.36266376549622,304.63530683256243,Engelsk fiksjon,221.19516275097396,57.255879826802335,278.4510425777763
2026-11-01,251.30653722258805,182.35336978284312,323.3888021563815,Engelsk fiksjon,235.34653722258804,61.16070964079442,296.5072468633825
2026-12-01,380.72130700046705,309.7538397227258,451.8301029242854,Engelsk fiksjon,364.76130700046707,60.334735935361046,425.0960429358281
2026-01-01,331.41046329497067,307.4895153370172,356.9309642096594,Norsk krim,343.19046329497064,27.84054645238772,371.0310097473584
2026-02-01,335.0707692619695,310.2952542475098,360.41707686793507,Norsk krim,346.85076926196945,27.650517388326104,374.5012866502955
2026-03-01,369.06027907042005,343.9432506008556,393.8844207996364,Norsk krim,380.84027907042,27.080881886417856,407.92116095683787
2026-04-01,380.0580790368117,355.468236508487,405.4915185828164,Norsk krim,391.8380790368117,27.74557041382332,419.583649450635
2026-05-01,387.38166128280125,363.23153557521397,413.1831860187509,Norsk krim,399.1616612828012,28.14711789376328,427.3087791765645
2026-06-01,407.39432348192827,381.8229525955706,432.3929635653677,Norsk krim,419.17432348192824,27.271243727388498,446.4455672093167
2026-07-01,505.9400754697092,480.602741900632,531.3664445694486,Norsk krim,517.7200754697092,27.737857199715734,545.457932669425
2026-08-01,471.71149680270594,446.5065678125361,496.21916079960897,Norsk krim,483.4914968027059,26.73563345116695,510.2271302538729
2026-09-01,413.59139001202044,388.5348678444757,439.26133249890086,Norsk krim,425.3713900120204,28.003573622051366,453.3749636340718
2026-10-01,403.76839351902595,379.63999272911667,429.88870756998153,Norsk krim,415.5483935190259,28.494888055587914,444.04328157461384
2026-11-01,374.1362957099401,348.5910717292753,398.83941027031943,Norsk krim,385.9162957099401,26.94885224768655,412.8651479576266
2026-12-01,505.909577029935,481.61714648595307,531.4041258450217,Norsk krim,517.689577029935,27.81223507100363,545.5018121009387
2026-01-01,265.5310437840624,239.95208870918407,292.2497270208756,Norske barnebøker,264.8410437840624,24.289712033466554,289.13075581752895
2026-02-01,221.88478637065532,195.7474432688692,247.48261556441514,Norske barnebøker,221.19478637065532,23.270753812508932,244.46554018316425
2026-03-01,243.08196216612123,217.352102917977,268.65870449984527,Norske barnebøker,242.39196216612123,23.251583939749132,265.64354610587037
2026-04-01,240.70591388544665,215.500067742933,263.69692889731266,Norske barnebøker,240.01591388544665,20.90092273806001,260.91683662350664
2026-05-01,292.1029484813249,264.9973789329982,316.93179245271665,Norske barnebøker,291.4129484813249,22.57167633762885,313.98462481895376
2026-06-01,279.14457721007534,252.8021783111009,304.90461105468745,Norske barnebøker,278.45457721007534,23.418212586011013,301.87278979608635
2026-07-01,350.58302183596663,325.6772632377944,378.56514971015616,Norske barnebøker,349.89302183596664,25.43829806744503,375.33131990341167
2026-08-01,352.58992788911854,327.10697602681586,379.5975557082735,Norske barnebøker,351.89992788911854,24.5523889265045,376.452316815623
2026-09-01,294.77987304308755,267.15648745795653,320.54961265842036,Norske barnebøker,294.08987304308755,23.42703601393892,317.51690905702645
2026-10-01,305.4756406175327,279.45824674572475,331.74789301453353,Norske barnebøker,304.7856406175327,23.883865815455312,328.669506432988
2026-11-01,262.87490140183274,237.66702884326781,288.3314286281688,Norske barnebøker,262.18490140183275,23.14229747848732,285.32719888032005
2026-12-01,386.5842076112783,361.1684967547153,411.68237505380716,Norske barnebøker,385.8942076112783,22.816515856844408,408.71072346812275
